"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.368958381E-3,2.215616699E3,8.560700073E2,-6.945277100E2,2.474708459E3
1.733295835E-2,2.215619629E3,8.565238037E2,-6.917235107E2,2.474082614E3
2.729695837E-2,2.215479736E3,8.556322632E2,-6.955440674E2,2.474719900E3
3.726095834E-2,2.215493164E3,8.554884033E2,-6.952425537E2,2.474597458E3
4.722495837E-2,2.215019287E3,8.527731323E2,-7.069713135E2,2.476558276E3
5.718795839E-2,2.214909424E3,8.533523560E2,-7.031583252E2,2.475573798E3
6.715195836E-2,2.214531250E3,8.508064575E2,-7.135480957E2,2.477331462E3
7.711595838E-2,2.214441406E3,8.516827393E2,-7.086774902E2,2.476153876E3
8.707995835E-2,2.214049805E3,8.488538818E2,-7.209285889E2,2.478367907E3
9.704395838E-2,2.214240234E3,8.498859253E2,-7.153146973E2,2.477264826E3
1.070069583E-1,2.213697754E3,8.468678589E2,-7.282077637E2,2.479501858E3
1.169709584E-1,2.213914551E3,8.481679688E2,-7.210871582E2,2.478058359E3
1.269349584E-1,2.213398682E3,8.453331299E2,-7.339581299E2,2.480406491E3
1.368989584E-1,2.213602295E3,8.470606689E2,-7.255809326E2,2.478712284E3
1.468619584E-1,2.213199463E3,8.441887207E2,-7.387922363E2,2.481273952E3
1.568259583E-1,2.213508789E3,8.460897827E2,-7.292818604E2,2.479383212E3
1.667899584E-1,2.212990967E3,8.431372070E2,-7.420594482E2,2.481705380E3
1.767539583E-1,2.213197266E3,8.453471680E2,-7.321386719E2,2.479693732E3
1.867179584E-1,2.212725586E3,8.425120239E2,-7.447440186E2,2.482060572E3
1.966809584E-1,2.213146973E3,8.454270630E2,-7.323767090E2,2.479746375E3
2.066449584E-1,2.212941895E3,8.424060669E2,-7.443437500E2,2.482097385E3
2.166089584E-1,2.213394287E3,8.452839355E2,-7.315361328E2,2.479670203E3
2.265729583E-1,2.212815674E3,8.424759521E2,-7.437745361E2,2.481837927E3
2.365359584E-1,2.213519043E3,8.458025513E2,-7.299595947E2,2.479493803E3
2.464999584E-1,2.213262207E3,8.431226196E2,-7.416448975E2,2.481818386E3
2.564639584E-1,2.213548096E3,8.464618530E2,-7.271890869E2,2.478930578E3
2.664279584E-1,2.213290527E3,8.439951782E2,-7.382899170E2,2.481139823E3
2.763919584E-1,2.213862061E3,8.474593506E2,-7.235046387E2,2.478473630E3
2.863549584E-1,2.213472412E3,8.451901245E2,-7.335223389E2,2.480294637E3
2.963188750E-1,2.214112549E3,8.487393188E2,-7.184747314E2,2.477672042E3
3.062828750E-1,2.213605225E3,8.465207520E2,-7.282182617E2,2.479303796E3
3.162468750E-1,1.053854492E3,-2.064445557E3,-1.862177368E3,2.973255673E3
3.262098751E-1,1.053680786E3,-2.066464355E3,-1.871627686E3,2.980521485E3
3.361738750E-1,1.054353882E3,-2.062920654E3,-1.855939087E3,2.968469914E3
