"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.515416666E-3,8.765269775E2,-2.170770508E3,-7.053184814E2,2.444998630E3
1.647841668E-2,8.764675293E2,-2.170480957E3,-7.029553223E2,2.444039505E3
2.644141664E-2,8.764470215E2,-2.170568848E3,-7.033884277E2,2.444234805E3
3.640341666E-2,8.765521851E2,-2.170211182E3,-7.009987793E2,2.443268220E3
4.636641667E-2,8.764365234E2,-2.170553955E3,-7.030930176E2,2.444132820E3
5.632941669E-2,8.764463501E2,-2.170078613E3,-7.004254150E2,2.442948046E3
6.629241665E-2,8.763449097E2,-2.170467773E3,-7.021973877E2,2.443765931E3
7.625441666E-2,8.765277100E2,-2.169861816E3,-6.994332275E2,2.442500352E3
8.621741668E-2,8.764041138E2,-2.170229248E3,-7.014777832E2,2.443368625E3
9.618041664E-2,8.764022827E2,-2.169598877E3,-6.982917480E2,2.441895086E3
1.061434167E-1,8.764721069E2,-2.170041504E3,-7.009820557E2,2.443083978E3
1.161054167E-1,8.766151733E2,-2.169475830E3,-6.979422607E2,2.441762261E3
1.260684167E-1,8.763214111E2,-2.169750732E3,-7.004080811E2,2.442606996E3
1.360314167E-1,8.765298462E2,-2.169247070E3,-6.968836670E2,2.441225977E3
1.459934167E-1,8.763126831E2,-2.169582031E3,-6.990469971E2,2.442064048E3
1.559564167E-1,8.764888916E2,-2.168881348E3,-6.957575684E2,2.440565031E3
1.659194166E-1,8.763249512E2,-2.169325928E3,-6.984112549E2,2.441659002E3
1.758824167E-1,8.766252441E2,-2.168677246E3,-6.948905029E2,2.440185572E3
1.858444167E-1,8.763115234E2,-2.169085449E3,-6.977058105E2,2.441238819E3
1.958074167E-1,8.766500854E2,-2.168497314E3,-6.941546631E2,2.439825131E3
2.057704167E-1,8.763407593E2,-2.168955078E3,-6.968592529E2,2.440891656E3
2.157334167E-1,8.767437744E2,-2.168247070E3,-6.928532715E2,2.439266418E3
2.256954167E-1,8.764124146E2,-2.168854736E3,-6.961354980E2,2.440621687E3
2.356584166E-1,8.766704102E2,-2.167952637E3,-6.919927979E2,2.438734031E3
2.456214167E-1,8.764911499E2,-2.168502686E3,-6.952319336E2,2.440079522E3
2.555844167E-1,8.767700195E2,-2.167690674E3,-6.909678955E2,2.438246328E3
2.655464167E-1,8.764465332E2,-2.168240723E3,-6.931800537E2,2.439246798E3
2.755094166E-1,8.768543701E2,-2.167313232E3,-6.888277588E2,2.437335413E3
2.854724167E-1,8.766268921E2,-2.167796631E3,-6.920618896E2,2.438599311E3
2.954344167E-1,8.770145874E2,-2.166936035E3,-6.878745117E2,2.436788401E3
3.053974166E-1,8.766431885E2,-2.167562744E3,-6.909099121E2,2.438070556E3
3.153604167E-1,8.770082397E2,-2.166831299E3,-6.867445068E2,2.436374222E3
3.253234167E-1,8.767021484E2,-2.167430176E3,-6.901728516E2,2.437765122E3
3.352854167E-1,8.770717773E2,-2.166677002E3,-6.859110107E2,2.436025051E3
3.452484166E-1,8.767891235E2,-2.167179932E3,-6.895203857E2,2.437389256E3
3.552114167E-1,8.772706299E2,-2.166516846E3,-6.858447266E2,2.435935547E3
3.651744167E-1,8.768024902E2,-2.167019531E3,-6.890212402E2,2.437110282E3
3.751364166E-1,-2.224781982E3,8.230499268E2,-7.829423828E2,2.498012175E3
3.850994167E-1,-2.225091553E3,8.224146118E2,-7.857413330E2,2.498957313E3
3.950624167E-1,-2.224646484E3,8.228370361E2,-7.829661865E2,2.497828821E3
4.050254166E-1,-2.224950684E3,8.222583618E2,-7.859898682E2,2.498858626E3
4.149874166E-1,-2.224619873E3,8.226478882E2,-7.835794678E2,2.497935129E3
4.249504167E-1,-2.225109131E3,8.221011963E2,-7.865543213E2,2.499125591E3
4.349134167E-1,-2.224861084E3,8.224188232E2,-7.847260742E2,2.498434425E3
4.448754166E-1,-2.225213867E3,8.219622803E2,-7.874095459E2,2.499442445E3
4.548384167E-1,-2.225018066E3,8.220060425E2,-7.862094727E2,2.498904693E3
4.648014167E-1,-2.225092041E3,8.215106812E2,-7.887395020E2,2.499604847E3
4.747644167E-1,-2.224868652E3,8.215772705E2,-7.882526855E2,2.499274300E3
4.847264166E-1,-2.225168213E3,8.210830078E2,-7.902597656E2,2.500012276E3
4.946894167E-1,-2.225083496E3,8.210511475E2,-7.904364014E2,2.499982251E3
5.046524167E-1,-2.225407227E3,8.205269775E2,-7.923697510E2,2.500710233E3
5.146154166E-1,-2.225244629E3,8.204932251E2,-7.933784180E2,2.500874268E3
5.245774167E-1,-2.225276123E3,8.200740356E2,-7.951896973E2,2.501340021E3
5.345404167E-1,-2.225099609E3,8.197835083E2,-7.962001953E2,2.501409207E3
5.445034167E-1,-2.225343750E3,8.193229980E2,-7.989709473E2,2.502358798E3
5.544654166E-1,-2.225518799E3,8.191408691E2,-7.996577148E2,2.502674199E3
5.644284167E-1,-2.225518799E3,8.191408691E2,-7.996577148E2,2.502674199E3
5.743914167E-1,-2.225591553E3,8.185982666E2,-8.014481201E2,2.503134030E3
5.843544166E-1,-2.225591553E3,8.185982666E2,-8.014481201E2,2.503134030E3
5.943161667E-1,-2.225481689E3,8.184423218E2,-8.023150635E2,2.503263080E3
6.042791667E-1,-2.225500244E3,8.181378174E2,-8.039869385E2,2.503716402E3
6.142421667E-1,-2.225500244E3,8.181378174E2,-8.039869385E2,2.503716402E3
6.242041666E-1,-2.225656250E3,8.180465698E2,-8.042490234E2,2.503909428E3
6.341671667E-1,-2.225656250E3,8.180465698E2,-8.042490234E2,2.503909428E3
6.441301667E-1,-2.225496826E3,8.179562378E2,-8.042834473E2,2.503749267E3
6.540931666E-1,-2.225718994E3,8.181688232E2,-8.031472168E2,2.503651477E3
6.640551666E-1,-2.225505859E3,8.179423828E2,-8.042203369E2,2.503732498E3
6.740181667E-1,-2.225768311E3,8.181989746E2,-8.026525879E2,2.503546547E3
6.839811667E-1,-2.225768311E3,8.181989746E2,-8.026525879E2,2.503546547E3
6.939441666E-1,-2.225713867E3,8.182894287E2,-8.023106689E2,2.503418107E3
