"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.577564100E-2,-8.555625153E1,1.434187622E2,-2.148000031E2,2.720806036E2
5.577977600E-2,-8.968125153E1,1.494937592E2,-2.268750153E2,2.861177790E2
7.579029400E-2,-8.570625305E1,1.437187500E2,-2.152312622E2,2.726263691E2
9.580956000E-2,-8.928750610E1,1.496250000E2,-2.262562561E2,2.855727452E2
1.158407020E-1,-8.583750153E1,1.443750000E2,-2.162812653E2,2.738426610E2
1.358705970E-1,-8.928750610E1,1.495875092E2,-2.254125061E2,2.848850287E2
1.558914890E-1,-8.641875458E1,1.444125061E2,-2.179500122E2,2.753640879E2
1.759121390E-1,-8.910000610E1,1.494375000E2,-2.247937622E2,2.842580043E2
1.959215090E-1,-8.692500305E1,1.450125122E2,-2.185687561E2,2.763274977E2
2.159218630E-1,-8.881875610E1,1.494750061E2,-2.239687653E2,2.835375755E2
2.359251960E-1,-8.737500000E1,1.452937622E2,-2.198250122E2,2.776107058E2
2.559234860E-1,-8.844375610E1,1.492500000E2,-2.231250153E2,2.826351587E2
2.759276440E-1,-8.726250458E1,1.455000000E2,-2.211000061E2,2.786937520E2
2.959257640E-1,-8.848125458E1,1.489875031E2,-2.222812653E2,2.818424549E2
3.159193080E-1,-8.788125610E1,1.459125061E2,-2.219250031E2,2.797575407E2
3.359205220E-1,-8.784375000E1,1.484437561E2,-2.195625153E2,2.792127706E2
3.559170700E-1,-8.801250458E1,1.456125031E2,-2.203312531E2,2.783793510E2
3.759099520E-1,-8.782500458E1,1.484812622E2,-2.179875031E2,2.779900504E2
3.959114760E-1,-8.801250458E1,1.463625031E2,-2.209875031E2,2.792913528E2
4.159089100E-1,-8.735625458E1,1.483875122E2,-2.174812622E2,2.773951485E2
4.359025260E-1,-8.868750000E1,1.464562531E2,-2.228437653E2,2.810235763E2
4.559051970E-1,-8.730000305E1,1.480500031E2,-2.164312592E2,2.763739928E2
