"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.645911600E-2,-9.416250610E1,1.422562561E2,-1.997062531E2,2.626518750E2
5.646348100E-2,-9.483750153E1,1.439625092E2,-2.013937531E2,2.651014891E2
7.647469000E-2,-9.444375610E1,1.423875122E2,-2.001187592E2,2.631375011E2
9.649529900E-2,-9.485625458E1,1.438125000E2,-2.016000061E2,2.651835339E2
1.165215950E-1,-9.451875305E1,1.425562592E2,-2.013750153E2,2.642119953E2
1.365538910E-1,-9.472500610E1,1.439812622E2,-2.009812622E2,2.647581886E2
1.565775740E-1,-9.485625458E1,1.429125061E2,-2.013750153E2,2.645252166E2
1.765899170E-1,-9.465000153E1,1.438312531E2,-2.008687592E2,2.645643788E2
1.966036170E-1,-9.485625458E1,1.429312592E2,-2.019000092E2,2.649352139E2
2.166074800E-1,-9.427500153E1,1.437937622E2,-2.003625031E2,2.640256703E2
2.366147800E-1,-9.495000458E1,1.431000061E2,-2.025375061E2,2.655457710E2
2.566146700E-1,-9.444375610E1,1.439250031E2,-2.002500153E2,2.640721458E2
2.766087560E-1,-9.495000458E1,1.430062561E2,-2.025187531E2,2.654809560E2
2.966100980E-1,-9.416250610E1,1.437750092E2,-1.991062622E2,2.630230683E2
3.166061240E-1,-9.511875153E1,1.431375122E2,-2.021062622E2,2.652976923E2
3.365982320E-1,-9.408750153E1,1.435125122E2,-1.979437561E2,2.619733377E2
3.565990400E-1,-9.540000153E1,1.432687531E2,-2.025187531E2,2.657836361E2
3.765952890E-1,-9.406875610E1,1.437562561E2,-1.981687622E2,2.622701858E2
3.965883250E-1,-9.515625000E1,1.437187500E2,-2.030625153E2,2.663534796E2
4.165898720E-1,-9.406875610E1,1.437562561E2,-1.980562592E2,2.621851900E2
4.365873930E-1,-9.564375305E1,1.436437531E2,-2.032500153E2,2.666305009E2
4.565926690E-1,-9.388125610E1,1.437000122E2,-1.977562561E2,2.618604983E2
4.765929050E-1,-9.553125000E1,1.438312531E2,-2.029500122E2,2.664626738E2
4.965890870E-1,-9.386250305E1,1.438500061E2,-1.974375153E2,2.616955601E2
5.165931340E-1,-9.570000458E1,1.439812622E2,-2.038875122E2,2.673185597E2
5.365923550E-1,-9.420000458E1,1.432875061E2,-1.966875153E2,2.609423862E2
5.565877410E-1,-9.603750610E1,1.443375092E2,-2.039812622E2,2.677029594E2
5.765913400E-1,-9.361875153E1,1.434750061E2,-1.972312622E2,2.612464714E2
5.965902380E-1,-9.586875153E1,1.443000031E2,-2.043187561E2,2.678795671E2
6.165852230E-1,-9.371250153E1,1.434375000E2,-1.963875122E2,2.606231078E2
6.365885180E-1,-9.573750305E1,1.444500122E2,-2.035875092E2,2.673562219E2
6.565872300E-1,-9.382500458E1,1.433250122E2,-1.959562531E2,2.602768597E2
6.765935600E-1,-9.588750458E1,1.448625031E2,-2.043187561E2,2.681896948E2
6.965943870E-1,-9.382500458E1,1.431562500E2,-1.954312592E2,2.597887997E2
7.165910310E-1,-9.600000000E1,1.446750031E2,-2.044125061E2,2.682001662E2
7.365952660E-1,-9.236250305E1,1.407562561E2,-1.909125061E2,2.545402534E2
7.565944350E-1,-9.600000000E1,1.446750031E2,-2.044125061E2,2.682001662E2
7.765896610E-1,-9.225000000E1,1.410375061E2,-1.919812622E2,2.554573265E2
7.965931900E-1,-9.579375458E1,1.448625031E2,-2.041125031E2,2.679990711E2
8.165921750E-1,-9.240000153E1,1.405312500E2,-1.919625092E2,2.552183329E2
8.365869050E-1,-9.605625153E1,1.450500031E2,-2.037000122E2,2.678805738E2
8.565885470E-1,-9.255000305E1,1.408312531E2,-1.919625092E2,2.554379569E2
8.765874440E-1,-9.556875610E1,1.450687561E2,-2.041312561E2,2.680445874E2
8.965826730E-1,-9.247500610E1,1.408687592E2,-1.930125122E2,2.562215134E2
9.165865090E-1,-9.588750458E1,1.448250122E2,-2.034750061E2,2.675271497E2
