"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.004487497E-2,-7.806396484E-2,1.216741943E1,-3.470922852E1,3.678019486E1
2.000687498E-2,-1.658401489E-1,1.217839050E1,-3.471136475E1,3.678613245E1
2.996987500E-2,-1.335754395E-1,1.221780396E1,-3.474108887E1,3.682710729E1
3.993187496E-2,-7.092857361E-2,1.208842468E1,-3.483782959E1,3.687559373E1
4.989387497E-2,5.013370514E-2,1.208659363E1,-3.440972900E1,3.647077884E1
5.985687498E-2,-4.917526245E-2,1.209555054E1,-3.457885742E1,3.663334740E1
6.981887500E-2,4.568099976E-4,1.204502869E1,-3.443688965E1,3.648262717E1
7.978087495E-2,7.132434845E-2,1.207237244E1,-3.457336426E1,3.662055133E1
8.974387497E-2,6.208610535E-2,1.201948547E1,-3.443591309E1,3.647333267E1
9.970587498E-2,-9.678363800E-2,1.203637695E1,-3.425811768E1,3.631118786E1
1.096678750E-1,-2.907371521E-2,1.205101013E1,-3.458752441E1,3.662682809E1
1.196308749E-1,-2.711315155E-1,1.210807800E1,-3.461676025E1,3.667423013E1
1.295928750E-1,-5.557441711E-2,1.214936829E1,-3.469842529E1,3.676398994E1
1.395548750E-1,5.049800873E-2,1.210144043E1,-3.466412354E1,3.671578504E1
1.495168750E-1,-8.404636383E-2,1.214787292E1,-3.454772949E1,3.662135297E1
1.594798750E-1,-8.335781097E-2,1.222912598E1,-3.456085205E1,3.666075511E1
1.694418750E-1,-1.507425308E-1,1.216249084E1,-3.450396729E1,3.658514268E1
1.794038750E-1,-2.473831177E-2,1.215487671E1,-3.454400635E1,3.662007666E1
1.893668750E-1,6.938171387E-2,1.220672607E1,-3.465625000E1,3.674322576E1
1.993288750E-1,-3.797721863E-2,1.212413025E1,-3.464794922E1,3.670798771E1
2.092908749E-1,-3.614425659E-2,1.211935425E1,-3.439892578E1,3.647144292E1
2.192538750E-1,-6.426620483E-2,1.217970276E1,-3.440661621E1,3.649882914E1
2.292158750E-1,-1.178445816E-1,1.218663025E1,-3.455676270E1,3.664283958E1
2.391778750E-1,-6.731414795E-2,1.203033447E1,-3.465167236E1,3.668067443E1
2.491408749E-1,-1.302280426E-1,1.207917786E1,-3.466369629E1,3.670824618E1
2.591028750E-1,-1.886434555E-1,1.213665771E1,-3.471887207E1,3.677953405E1
2.690648750E-1,-6.756401062E-2,1.210092163E1,-3.465270996E1,3.670486585E1
2.790278750E-1,-9.126377106E-2,1.215083313E1,-3.465576172E1,3.672428209E1
2.889898750E-1,-1.174726486E-1,1.199171448E1,-3.467913818E1,3.669410908E1
2.989518750E-1,-1.165370941E-1,1.211203003E1,-3.462780762E1,3.668514567E1
3.089148750E-1,-1.027679443E-2,1.194694519E1,-3.467852783E1,3.667873904E1
3.188768750E-1,-9.965896606E-3,1.191415405E1,-3.432641602E1,3.633524463E1
3.288388750E-1,-2.860927582E-2,1.207284546E1,-3.448742676E1,3.653952682E1
3.388018750E-1,-5.576896667E-2,1.197935486E1,-3.445404053E1,3.647723895E1
3.487638750E-1,5.796337128E-2,1.205128479E1,-3.452929688E1,3.657197243E1
3.587258750E-1,-5.634593964E-2,1.211981201E1,-3.460809326E1,3.666896695E1
3.686888750E-1,4.605293274E-3,1.196707153E1,-3.457958984E1,3.659178673E1
3.786508749E-1,1.632022858E-2,1.208610535E1,-3.454193115E1,3.659534419E1
3.886134583E-1,-1.242618561E-1,1.215301514E1,-3.440209961E1,3.648582842E1
3.985764583E-1,-5.807113647E-2,1.216586304E1,-3.451593018E1,3.659728175E1
4.085384583E-1,-9.432601929E-2,1.218362427E1,-3.442889404E1,3.652120402E1
4.185004583E-1,-4.893970490E-2,1.214128113E1,-3.433941650E1,3.642263895E1
4.284634583E-1,-8.589744568E-2,1.209437561E1,-3.466973877E1,3.671882468E1
4.384254583E-1,-8.526039124E-2,1.210476685E1,-3.444195557E1,3.650727260E1
4.483874583E-1,1.225433350E-1,1.207226562E1,-3.462615967E1,3.667049969E1
4.583504583E-1,8.090972900E-2,1.208924866E1,-3.461749268E1,3.666779621E1
4.683124583E-1,-1.921806335E-1,1.211293030E1,-3.467132568E1,3.672684085E1
4.782744583E-1,-1.226158142E-1,1.217160034E1,-3.483831787E1,3.690354023E1
4.882374583E-1,-2.943820953E-1,1.201797485E1,-3.472167969E1,3.674388957E1
4.981994583E-1,-2.272853851E-1,1.209220886E1,-3.459191895E1,3.664524567E1
5.081614583E-1,-2.680521011E-1,1.207374573E1,-3.466430664E1,3.670778314E1
5.181244583E-1,-2.509355545E-1,1.211399841E1,-3.474462891E1,3.679675480E1
5.280864583E-1,-7.123279572E-2,1.209158325E1,-3.453820801E1,3.659370536E1
5.380484583E-1,-6.348991394E-2,1.210537720E1,-3.442950439E1,3.649568414E1
5.480114583E-1,-2.077875137E-1,1.202803040E1,-3.487951660E1,3.689576357E1
5.579734583E-1,-1.912326813E-1,1.215904236E1,-3.471618652E1,3.678440550E1
5.679354583E-1,-1.912326813E-1,1.215904236E1,-3.471618652E1,3.678440550E1
5.778984583E-1,-4.000854492E-2,1.201583862E1,-3.447241211E1,3.650656345E1
5.878604583E-1,-1.430768967E-1,1.207571411E1,-3.487170410E1,3.690364602E1
5.978224583E-1,-1.430768967E-1,1.207571411E1,-3.487170410E1,3.690364602E1
6.077854583E-1,-1.305322647E-1,1.194044495E1,-3.454479980E1,3.655043718E1
6.177474583E-1,-1.305322647E-1,1.194044495E1,-3.454479980E1,3.655043718E1
6.277094583E-1,-9.744358063E-2,1.201853943E1,-3.434161377E1,3.638407923E1
6.376724583E-1,-1.884717941E-1,1.205271912E1,-3.441131592E1,3.646151701E1
6.476344583E-1,-2.423124313E-1,1.204824829E1,-3.444165039E1,3.648898853E1
6.575964583E-1,-6.819725037E-3,1.202111816E1,-3.455413818E1,3.658545878E1
6.675594583E-1,-1.408472061E-1,1.210412598E1,-3.455297852E1,3.661199295E1
6.775214583E-1,-1.516914368E-1,1.209815979E1,-3.455151367E1,3.660868172E1
6.874834583E-1,-4.472732544E-4,1.217393494E1,-3.445892334E1,3.654616382E1
