"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.773583333E-2,-1.946029663E-1,1.208097839E1,-3.587353516E1,3.785364492E1
5.769783334E-2,-1.590423584E-1,1.216542053E1,-3.603320312E1,3.803175619E1
6.765983335E-2,-1.209335327E-1,1.213467407E1,-3.620910645E1,3.818853662E1
7.762283337E-2,-2.276000977E-1,1.207662964E1,-3.590863037E1,3.788570338E1
8.758483332E-2,-9.653091431E-2,1.200148010E1,-3.584173584E1,3.779781569E1
9.754783334E-2,-2.205123901E-1,1.196185303E1,-3.579748535E1,3.774380096E1
1.075098334E-1,-1.488876343E-1,1.197113037E1,-3.594580078E1,3.788707858E1
1.174728334E-1,-6.005859375E-2,1.198046875E1,-3.595123291E1,3.789493879E1
1.274348333E-1,-1.483688354E-1,1.205088806E1,-3.567590332E1,3.765655314E1
1.373978333E-1,-1.097412109E-1,1.196318054E1,-3.561242676E1,3.756826681E1
1.473598334E-1,-1.270103455E-1,1.190267944E1,-3.570556641E1,3.763744654E1
1.573228334E-1,-1.439971924E-1,1.211380005E1,-3.594842529E1,3.793486744E1
1.672848333E-1,-1.158027649E-1,1.215020752E1,-3.622540283E1,3.820890948E1
1.772478333E-1,-3.052139282E-1,1.202412415E1,-3.586419678E1,3.782741503E1
1.872098334E-1,-2.092018127E-1,1.209390259E1,-3.585583496E1,3.784107749E1
1.971728333E-1,-2.392196655E-2,1.197276306E1,-3.590863037E1,3.785204569E1
2.071348333E-1,-9.427642822E-2,1.199623108E1,-3.591070557E1,3.786155335E1
2.170978333E-1,-1.721038818E-1,1.202931213E1,-3.587957764E1,3.784280726E1
2.270598334E-1,-2.076568604E-1,1.196769714E1,-3.574298096E1,3.769389319E1
2.370218334E-1,-2.861747742E-1,1.196257019E1,-3.587939453E1,3.782216194E1
2.469848333E-1,-3.179435730E-1,1.194215393E1,-3.575598145E1,3.769889040E1
2.569468333E-1,-1.043739319E-1,1.197100830E1,-3.610308838E1,3.803615286E1
2.669102917E-1,-4.381942749E-2,1.204483032E1,-3.577685547E1,3.775000987E1
2.768722917E-1,-9.327316284E-2,1.193559265E1,-3.596008301E1,3.788924177E1
2.868352917E-1,-1.184692383E-1,1.194596863E1,-3.615679932E1,3.807931641E1
2.967972917E-1,-1.902732849E-1,1.199958801E1,-3.577758789E1,3.773674750E1
3.067602917E-1,-1.530303955E-1,1.203189087E1,-3.587847900E1,3.784250351E1
