"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.237311200E-2,-2.250000089E-1,1.513125038E1,-3.571875000E1,3.879219592E1
4.237152100E-2,-4.875000119E-1,1.541250038E1,-3.560625076E1,3.880190611E1
6.237866200E-2,-2.062500119E-1,1.535625076E1,-3.541875076E1,3.860498520E1
8.238016000E-2,-1.875000000E-1,1.545000076E1,-3.562500000E1,3.883140874E1
1.023770100E-1,-1.875000000E-1,1.545000076E1,-3.551250076E1,3.872822472E1
1.223815110E-1,-7.500000298E-2,1.554375076E1,-3.553125000E1,3.878251590E1
1.423810610E-1,-2.250000089E-1,1.520625019E1,-3.571875000E1,3.882151171E1
1.623765020E-1,-2.250000089E-1,1.511250019E1,-3.551250076E1,3.859502555E1
1.823802460E-1,-1.687500030E-1,1.561875057E1,-3.553125000E1,3.881293048E1
2.023788900E-1,-3.750000000E-1,1.550625038E1,-3.562500000E1,3.885518049E1
2.223738060E-1,-7.125000358E-1,1.513125038E1,-3.570000076E1,3.878082579E1
2.423771440E-1,-8.062500358E-1,1.501875019E1,-3.538125229E1,3.844536266E1
2.623756750E-1,-5.062500238E-1,1.524375057E1,-3.551250076E1,3.864926818E1
2.823705620E-1,-3.750000000E-1,1.541250038E1,-3.551250076E1,3.871464198E1
3.023739720E-1,-6.937500238E-1,1.520625019E1,-3.549375153E1,3.862017260E1
3.223727880E-1,-3.750000000E-1,1.550625038E1,-3.562500000E1,3.885518049E1
3.423789280E-1,-1.312500089E-1,1.513125038E1,-3.530625153E1,3.841228139E1
3.623796850E-1,-1.875000000E-1,1.554375076E1,-3.573750305E1,3.897194463E1
3.823761730E-1,-1.500000060E-1,1.576875019E1,-3.553125000E1,3.887345764E1
4.023805110E-1,-3.000000119E-1,1.535625076E1,-3.551250076E1,3.869162891E1
4.223797910E-1,-9.375000000E-2,1.545000076E1,-3.510000229E1,3.834998661E1
4.423751170E-1,-3.937500119E-1,1.535625076E1,-3.603750229E1,3.917487776E1
4.623786890E-1,-3.000000119E-1,1.535625076E1,-3.562500000E1,3.879491027E1
4.823773340E-1,-1.875000000E-1,1.545000076E1,-3.530625153E1,3.853918884E1
5.023712400E-1,-3.000000119E-1,1.533750057E1,-3.530625153E1,3.849493890E1
5.223737110E-1,-1.875000000E-1,1.545000076E1,-3.530625153E1,3.853918884E1
5.423717290E-1,-6.000000238E-1,1.513125038E1,-3.549375153E1,3.858913235E1
5.623777880E-1,-3.000000119E-1,1.526250076E1,-3.551250076E1,3.865451642E1
5.823792150E-1,-9.375000000E-2,1.546875095E1,-3.553125000E1,3.875255826E1
6.023762640E-1,-5.062500238E-1,1.522500038E1,-3.528750229E1,3.843520188E1
6.223810110E-1,-2.812500000E-1,1.543125057E1,-3.530625153E1,3.853224614E1
6.423806870E-1,-2.062500119E-1,1.537500095E1,-3.571875000E1,3.888781679E1
6.623761560E-1,-1.125000045E-1,1.520625019E1,-3.541875076E1,3.854517618E1
6.823798300E-1,-1.125000045E-1,1.528125095E1,-3.510000229E1,3.828236471E1
7.023788290E-1,-4.312500060E-1,1.500000095E1,-3.549375153E1,3.853559916E1
7.223736740E-1,-4.875000119E-1,1.539375019E1,-3.530625153E1,3.851930163E1
7.423769620E-1,-3.000000119E-1,1.526250076E1,-3.510000229E1,3.827589438E1
7.623756410E-1,-4.312500060E-1,1.509375095E1,-3.551250076E1,3.858944162E1
7.823706980E-1,-4.125000238E-1,1.526250076E1,-3.571875000E1,3.884511793E1
8.023739690E-1,-1.875000000E-1,1.545000076E1,-3.530625153E1,3.853918884E1
8.223725810E-1,-2.062500119E-1,1.535625076E1,-3.530625153E1,3.850179701E1
8.423790160E-1,-1.312500089E-1,1.513125038E1,-3.551250076E1,3.860193875E1
8.623797800E-1,-9.375000000E-2,1.537500095E1,-3.510000229E1,3.831983304E1
8.823763420E-1,-9.375000000E-2,1.537500095E1,-3.541875076E1,3.861201042E1
9.023806130E-1,-3.937500119E-1,1.533750057E1,-3.551250076E1,3.868503164E1
9.223799200E-1,-2.250000089E-1,1.520625019E1,-3.583125305E1,3.892504804E1
9.423752910E-1,-2.062500119E-1,1.535625076E1,-3.541875076E1,3.860498520E1
9.623790400E-1,1.875000000E-1,1.543125057E1,-3.553125000E1,3.873794493E1
9.823775940E-1,-2.062500119E-1,1.537500095E1,-3.562500000E1,3.880172443E1
1.002372427E0,0.000000000E0,1.548750019E1,-3.562500000E1,3.884589151E1
1.022374514E0,-3.000000119E-1,1.535625076E1,-3.571875000E1,3.888101772E1
1.042372415E0,-2.062500119E-1,1.528125095E1,-3.583125305E1,3.895430483E1
1.062378242E0,-9.375000000E-2,1.537500095E1,-3.541875076E1,3.861201042E1
1.082378745E0,-1.875000075E-2,1.531875038E1,-3.562500000E1,3.877892585E1
1.102375954E0,1.875000000E-1,1.533750057E1,-3.532500076E1,3.851142375E1
1.122380736E0,-2.062500119E-1,1.528125095E1,-3.562500000E1,3.876467199E1
1.142380479E0,1.875000000E-1,1.543125057E1,-3.541875076E1,3.863478428E1
1.162376294E0,-9.375000000E-2,1.537500095E1,-3.562500000E1,3.880128952E1
1.182380006E0,-3.000000119E-1,1.535625076E1,-3.562500000E1,3.879491027E1
1.202378848E0,-1.125000045E-1,1.530000019E1,-3.594375229E1,3.906476662E1
1.222373785E0,-2.250000089E-1,1.520625019E1,-3.551250076E1,3.863183118E1
1.242377064E0,9.375000000E-2,1.548750019E1,-3.541875076E1,3.865694448E1
1.262375711E0,-1.875000075E-2,1.531875038E1,-3.594375229E1,3.907195661E1
1.282370583E0,-1.875000075E-2,1.531875038E1,-3.562500000E1,3.877892585E1
