"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.215841000E-3,-1.687500030E-1,1.432500076E1,-3.453750229E1,3.739081689E1
2.621930600E-2,-2.250000089E-1,1.462500095E1,-3.412500000E1,3.712757604E1
4.621795600E-2,-2.062500119E-1,1.471875095E1,-3.433125305E1,3.735397040E1
6.621287700E-2,-1.312500089E-1,1.464375019E1,-3.423750305E1,3.723792773E1
8.621618900E-2,-7.500000298E-2,1.434375095E1,-3.433125305E1,3.720730778E1
1.062149480E-1,-2.437500060E-1,1.445625019E1,-3.380625153E1,3.676826384E1
1.262213280E-1,-2.437500060E-1,1.445625019E1,-3.380625153E1,3.676826384E1
1.462204900E-1,-1.312500089E-1,1.456875038E1,-3.465000153E1,3.758840672E1
1.662161240E-1,-5.625000224E-2,1.449375057E1,-3.423750305E1,3.717900732E1
1.862199760E-1,-1.875000075E-2,1.475625038E1,-3.466875076E1,3.767850258E1
2.062192280E-1,-3.187500238E-1,1.462500095E1,-3.412500000E1,3.712826254E1
2.262141600E-1,-1.500000060E-1,1.440000057E1,-3.421875000E1,3.712553526E1
2.462188690E-1,-3.750000149E-2,1.466250038E1,-3.435000229E1,3.734853385E1
2.662185370E-1,5.625000224E-2,1.451250076E1,-3.423750305E1,3.718632084E1
2.862141640E-1,-3.750000149E-2,1.458750057E1,-3.444375229E1,3.740546285E1
3.062180530E-1,1.875000075E-2,1.434375095E1,-3.423750305E1,3.712075105E1
3.262167400E-1,-2.437500060E-1,1.438125038E1,-3.412500000E1,3.703235614E1
3.462232050E-1,-4.125000238E-1,1.460625076E1,-3.412500000E1,3.712180414E1
3.662240740E-1,-3.000000119E-1,1.470000076E1,-3.412500000E1,3.715771316E1
3.862204060E-1,-5.625000224E-2,1.441875076E1,-3.433125305E1,3.723625214E1
4.062247940E-1,-2.250000089E-1,1.455000019E1,-3.412500000E1,3.709809639E1
4.262241440E-1,-3.375000060E-1,1.443750095E1,-3.380625153E1,3.676163737E1
4.462193030E-1,-5.062500238E-1,1.460625076E1,-3.453750229E1,3.750250545E1
4.662226570E-1,-2.250000089E-1,1.464375019E1,-3.444375229E1,3.742809261E1
4.862214280E-1,-2.437500060E-1,1.447500038E1,-3.421875000E1,3.715518674E1
5.062162480E-1,-1.312500089E-1,1.456875038E1,-3.423750305E1,3.720849808E1
5.262195440E-1,-2.437500060E-1,1.447500038E1,-3.474375153E1,3.763925239E1
5.462181280E-1,1.875000075E-2,1.434375095E1,-3.433125305E1,3.720723692E1
5.662129820E-1,-1.500000060E-1,1.447500038E1,-3.391875076E1,3.687858172E1
5.862163360E-1,-5.625000224E-2,1.449375057E1,-3.423750305E1,3.717900732E1
6.062152560E-1,-6.375000477E-1,1.441875076E1,-3.442500305E1,3.732810757E1
6.262214130E-1,-4.312500060E-1,1.453125095E1,-3.433125305E1,3.728241096E1
6.462223460E-1,-2.437500060E-1,1.440000057E1,-3.442500305E1,3.731621987E1
6.662173840E-1,-3.375000060E-1,1.453125095E1,-3.412500000E1,3.709159993E1
6.862210780E-1,-1.312500089E-1,1.456875038E1,-3.412500000E1,3.710500423E1
7.062198360E-1,-4.500000179E-1,1.436250019E1,-3.433125305E1,3.721718485E1
7.262147920E-1,-2.062500119E-1,1.471875095E1,-3.433125305E1,3.735397040E1
7.462175330E-1,-1.500000060E-1,1.440000057E1,-3.412500000E1,3.703914337E1
7.662173380E-1,5.625000224E-2,1.451250076E1,-3.382500076E1,3.680688141E1
7.862131990E-1,-3.750000149E-2,1.466250038E1,-3.435000229E1,3.734853385E1
8.062171750E-1,-5.625000224E-2,1.449375057E1,-3.412500000E1,3.707543115E1
8.262164210E-1,-1.312500089E-1,1.456875038E1,-3.423750305E1,3.720849808E1
8.462228760E-1,-2.250000089E-1,1.453125095E1,-3.360000229E1,3.660830552E1
8.662239970E-1,5.625000224E-2,1.460625076E1,-3.435000229E1,3.732651045E1
8.862204890E-1,-3.750000149E-2,1.456875038E1,-3.391875076E1,3.691519399E1
9.062250740E-1,5.625000224E-2,1.458750057E1,-3.403125000E1,3.702599511E1
9.262243760E-1,1.500000060E-1,1.453125095E1,-3.444375229E1,3.738384445E1
9.462195840E-1,-1.875000075E-2,1.473750019E1,-3.403125000E1,3.708531030E1
9.662230780E-1,-4.500000179E-1,1.426875019E1,-3.421875000E1,3.707725156E1
9.862217300E-1,-4.500000179E-1,1.426875019E1,-3.410625076E1,3.697345092E1
1.006216480E0,-1.500000060E-1,1.440000057E1,-3.444375229E1,3.733302276E1
1.026219793E0,-3.375000060E-1,1.453125095E1,-3.412500000E1,3.709159993E1
1.046218380E0,-3.375000060E-1,1.445625019E1,-3.421875000E1,3.714861945E1
1.066213265E0,-5.062500238E-1,1.458750057E1,-3.401250076E1,3.701218273E1
1.086216554E0,-3.562500179E-1,1.428750038E1,-3.421875000E1,3.708345228E1
