"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.589970400E-2,1.500000060E-1,1.659375000E1,-3.463125229E1,3.840180561E1
5.590392000E-2,-3.750000149E-2,1.655625153E1,-3.495000076E1,3.867316155E1
7.591462200E-2,5.062500238E-1,1.631250000E1,-3.474375153E1,3.838596378E1
9.593431000E-2,1.500000060E-1,1.668750000E1,-3.506250000E1,3.883135412E1
1.159660950E-1,1.500000060E-1,1.659375000E1,-3.474375153E1,3.850328959E1
1.359965180E-1,2.250000089E-1,1.635000038E1,-3.463125229E1,3.829747737E1
1.560179440E-1,3.187500238E-1,1.644375038E1,-3.453750229E1,3.825359581E1
1.760389270E-1,2.250000089E-1,1.635000038E1,-3.474375153E1,3.839923707E1
1.960483560E-1,-3.750000000E-1,1.618125153E1,-3.481875229E1,3.839686233E1
2.160487140E-1,1.312500089E-1,1.642500114E1,-3.463125229E1,3.832912110E1
2.360419400E-1,1.875000075E-2,1.633125114E1,-3.504375076E1,3.866231477E1
2.560424010E-1,1.875000075E-2,1.633125114E1,-3.472500229E1,3.837363547E1
2.760486380E-1,1.312500089E-1,1.651875114E1,-3.515625000E1,3.884389630E1
2.960483150E-1,1.875000075E-2,1.623750114E1,-3.472500229E1,3.833383074E1
3.160427590E-1,-1.687500030E-1,1.638750076E1,-3.483750153E1,3.849974247E1
3.360451430E-1,1.875000075E-2,1.623750114E1,-3.431250000E1,3.796056442E1
3.560425520E-1,-3.750000149E-2,1.665000153E1,-3.483750153E1,3.861185659E1
3.760360340E-1,-9.375000000E-2,1.614375114E1,-3.481875229E1,3.837935644E1
3.960263670E-1,3.000000119E-1,1.629375076E1,-3.483750153E1,3.846073097E1
4.160262780E-1,3.562500179E-1,1.670625114E1,-3.465000153E1,3.846879706E1
4.360225060E-1,-7.500000298E-2,1.623750114E1,-3.472500229E1,3.833389952E1
4.560271080E-1,-7.500000298E-2,1.631250000E1,-3.472500229E1,3.836572774E1
4.760266960E-1,3.375000060E-1,1.663125038E1,-3.495000076E1,3.870678169E1
4.960226010E-1,-3.750000149E-2,1.655625153E1,-3.483750153E1,3.857152296E1
5.160267120E-1,-5.625000224E-2,1.638750076E1,-3.451875305E1,3.821122424E1
5.360260410E-1,1.687500030E-1,1.674375153E1,-3.442500305E1,3.828136004E1
