"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.374850300E-2,3.187500238E-1,1.096875000E1,-3.510000229E1,3.677533465E1
4.375400200E-2,5.625000224E-2,1.110000038E1,-3.530625153E1,3.701006038E1
6.375437100E-2,-1.687500030E-1,1.091250038E1,-3.581250000E1,3.743856698E1
8.375009100E-2,1.500000060E-1,1.110000038E1,-3.510000229E1,3.681362070E1
1.037554900E-1,2.250000089E-1,1.096875000E1,-3.594375229E1,3.758081199E1
1.237555050E-1,2.062500119E-1,1.087500000E1,-3.519375229E1,3.683623711E1
1.437515620E-1,5.625000224E-2,1.108125019E1,-3.498750305E1,3.670044468E1
1.637554600E-1,-1.312500089E-1,1.115625000E1,-3.551250076E1,3.722387475E1
1.837545730E-1,2.062500119E-1,1.087500000E1,-3.541875076E1,3.705126273E1
2.037498380E-1,-1.687500030E-1,1.089375019E1,-3.528750229E1,3.693115335E1
2.237532290E-1,2.437500060E-1,1.111875057E1,-3.541875076E1,3.712376508E1
2.437519440E-1,1.312500089E-1,1.102500057E1,-3.530625153E1,3.698782585E1
2.637468560E-1,1.875000075E-2,1.085625076E1,-3.540000153E1,3.702726887E1
2.837501130E-1,1.875000075E-2,1.093125057E1,-3.562500000E1,3.726436925E1
3.037489280E-1,2.250000089E-1,1.104375076E1,-3.573750305E1,3.740567043E1
3.237438920E-1,2.437500060E-1,1.113750076E1,-3.553125000E1,3.723671661E1
3.437473310E-1,-3.750000149E-2,1.117500019E1,-3.551250076E1,3.722928613E1
3.637460980E-1,2.437500060E-1,1.121250057E1,-3.532500076E1,3.706258574E1
3.837524410E-1,3.750000149E-2,1.100625038E1,-3.540000153E1,3.707153978E1
4.037533480E-1,1.500000060E-1,1.121250057E1,-3.583125305E1,3.754492461E1
4.237498240E-1,2.062500119E-1,1.087500000E1,-3.551250076E1,3.714089221E1
4.437541370E-1,3.375000060E-1,1.113750076E1,-3.553125000E1,3.723744830E1
4.637533930E-1,2.250000089E-1,1.106250000E1,-3.583125305E1,3.750077635E1
4.837488170E-1,-7.500000298E-2,1.093125057E1,-3.583125305E1,3.746166787E1
5.037536150E-1,-5.625000224E-2,1.100625038E1,-3.551250076E1,3.717900512E1
5.237508270E-1,1.500000060E-1,1.119375038E1,-3.573750305E1,3.744985543E1
5.437559800E-1,5.625000224E-2,1.119375038E1,-3.583125305E1,3.753907174E1
5.637558470E-1,1.687500030E-1,1.136250019E1,-3.573750305E1,3.750072015E1
5.837517380E-1,1.500000060E-1,1.110000038E1,-3.530625153E1,3.701032160E1
6.037566940E-1,-7.500000298E-2,1.093125057E1,-3.560625076E1,3.724651604E1
6.237563430E-1,0.000000000E0,1.076250076E1,-3.530625153E1,3.691019940E1
6.437522030E-1,1.125000045E-1,1.078125000E1,-3.540000153E1,3.700551467E1
6.637558270E-1,-7.500000298E-2,1.091250038E1,-3.530625153E1,3.695429185E1
6.837547090E-1,1.875000075E-2,1.093125057E1,-3.540000153E1,3.704932791E1
7.037496270E-1,1.125000045E-1,1.087500000E1,-3.562500000E1,3.724807252E1
7.237530820E-1,1.312500089E-1,1.095000076E1,-3.530625153E1,3.696553990E1
7.437516840E-1,-1.687500030E-1,1.089375019E1,-3.528750229E1,3.693115335E1
7.637466070E-1,1.312500089E-1,1.104375076E1,-3.594375229E1,3.760232687E1
7.837498930E-1,2.250000089E-1,1.096875000E1,-3.573750305E1,3.738359568E1
8.037487360E-1,-0.000000000E0,1.068750000E1,-3.581250000E1,3.737322320E1
8.237438600E-1,2.437500060E-1,1.111875057E1,-3.541875076E1,3.712376508E1
8.437474030E-1,0.000000000E0,1.078125000E1,-3.560625076E1,3.720269406E1
8.637461690E-1,2.437500060E-1,1.121250057E1,-3.541875076E1,3.715195135E1
8.837524960E-1,-5.625000224E-2,1.108125019E1,-3.562500000E1,3.730868391E1
9.037533770E-1,1.312500089E-1,1.093125057E1,-3.478125000E1,3.645880987E1
9.237498070E-1,3.750000149E-2,1.110000038E1,-3.541875076E1,3.711737222E1
9.437542290E-1,-1.500000060E-1,1.106250000E1,-3.540000153E1,3.708856312E1
9.637533500E-1,-3.750000149E-2,1.117500019E1,-3.571875000E1,3.742607563E1
9.837487850E-1,3.750000149E-2,1.100625038E1,-3.540000153E1,3.707153978E1
1.003752437E0,-5.625000224E-2,1.100625038E1,-3.551250076E1,3.717900512E1
1.023749346E0,3.375000060E-1,1.113750076E1,-3.553125000E1,3.723744830E1
1.043743152E0,2.437500060E-1,1.113750076E1,-3.562500000E1,3.732618333E1
1.063746167E0,-5.625000224E-2,1.098750019E1,-3.510000229E1,3.677959333E1
1.083744629E0,5.625000224E-2,1.117500019E1,-3.521250153E1,3.694325455E1
1.103750952E0,1.875000075E-2,1.095000076E1,-3.583125305E1,3.746707306E1
1.123752574E0,1.875000075E-2,1.093125057E1,-3.551250076E1,3.715683384E1
1.143749874E0,2.062500119E-1,1.080000019E1,-3.583125305E1,3.742407298E1
1.163754835E0,1.125000045E-1,1.085625076E1,-3.540000153E1,3.702743503E1
1.183754417E0,5.625000224E-2,1.126875019E1,-3.603750229E1,3.775830327E1
1.203750127E0,3.750000149E-2,1.102500057E1,-3.551250076E1,3.718453649E1
