"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.027233335E-2,-8.309936523E-2,1.598910522E1,-3.655258942E1,3.989674403E1
6.020533334E-2,-8.772277832E-2,1.606654358E1,-3.651828766E1,3.989645161E1
7.013733336E-2,-2.901306152E-1,1.616198730E1,-3.627046967E1,3.970945705E1
8.006933334E-2,-2.126312256E-1,1.617453003E1,-3.638813019E1,3.982156014E1
9.000233334E-2,-4.983520508E-2,1.629129028E1,-3.596709442E1,3.948468695E1
9.993433335E-2,-2.573699951E-1,1.606980896E1,-3.622374725E1,3.962909114E1
1.098663333E-1,-4.124450684E-1,1.609429932E1,-3.628787231E1,3.969894531E1
1.197983334E-1,-3.842620850E-1,1.613595581E1,-3.624697113E1,3.967820111E1
1.297313333E-1,-2.449951172E-1,1.584419250E1,-3.609390259E1,3.941913574E1
1.396633333E-1,-2.703247070E-1,1.594868469E1,-3.617205811E1,3.953291548E1
1.495953334E-1,-4.402160645E-1,1.609623718E1,-3.632891846E1,3.973755098E1
1.595283333E-1,-1.401824951E-1,1.597317505E1,-3.677387238E1,4.009338676E1
1.694603333E-1,-1.644134521E-1,1.602281189E1,-3.657324982E1,3.992943945E1
1.793923333E-1,-2.103881836E-1,1.598204041E1,-3.668663025E1,4.001723026E1
1.893253333E-1,-2.216033936E-1,1.592936707E1,-3.661925507E1,3.993449242E1
1.992573334E-1,-2.059783936E-1,1.605101013E1,-3.647194672E1,3.984821515E1
2.091893333E-1,-1.487731934E-2,1.622509766E1,-3.669505310E1,4.012207544E1
2.191213334E-1,-1.892242432E-1,1.638862610E1,-3.683026886E1,4.031242458E1
2.290543334E-1,-2.452392578E-1,1.608871460E1,-3.684820557E1,4.020817247E1
2.389863333E-1,-1.951446533E-1,1.629469299E1,-3.693401337E1,4.036925123E1
2.489183334E-1,-2.378845215E-1,1.617684937E1,-3.669127655E1,4.009983565E1
2.588513333E-1,-1.191101074E-1,1.612644958E1,-3.648843384E1,3.989338751E1
2.687833333E-1,-1.628112793E-2,1.607403564E1,-3.636083984E1,3.975532117E1
2.787153333E-1,-8.399963379E-2,1.602664185E1,-3.597628021E1,3.938468030E1
2.886473333E-1,4.196166992E-3,1.614151001E1,-3.613140106E1,3.957305277E1
2.985803334E-1,-1.327819824E-1,1.634963989E1,-3.632872772E1,3.983848408E1
3.085123333E-1,-9.181213379E-2,1.631794739E1,-3.612830353E1,3.964263049E1
3.184443333E-1,-6.307983398E-2,1.625291443E1,-3.620162201E1,3.968272474E1
3.283773334E-1,2.760314941E-2,1.614019775E1,-3.664301300E1,4.004019415E1
3.383093333E-1,7.553100586E-3,1.610952759E1,-3.641499329E1,3.981919979E1
3.482413334E-1,-2.311859131E-1,1.646090698E1,-3.634637451E1,3.990080006E1
3.581743333E-1,-1.594543457E-2,1.612998962E1,-3.613449860E1,3.957118659E1
3.681063333E-1,-8.850097656E-3,1.603166199E1,-3.622398376E1,3.961301887E1
3.780383334E-1,-8.850097656E-3,1.603166199E1,-3.622398376E1,3.961301887E1
3.879703333E-1,-1.145629883E-1,1.606355286E1,-3.616182709E1,3.956928851E1
3.979033333E-1,-8.857727051E-2,1.597460938E1,-3.641420746E1,3.976418609E1
4.078353333E-1,-5.661010742E-2,1.619921875E1,-3.643209076E1,3.987123186E1
4.177678333E-1,5.294799805E-2,1.585681152E1,-3.643074036E1,3.973210438E1
4.277008333E-1,-2.796936035E-2,1.607562256E1,-3.647120667E1,3.985693589E1
4.376328333E-1,-9.030151367E-2,1.589678955E1,-3.640316772E1,3.972287367E1
4.475648333E-1,-1.300354004E-1,1.612159729E1,-3.618902588E1,3.961777887E1
4.574978334E-1,-1.298217773E-1,1.622726440E1,-3.601088715E1,3.949841714E1
4.674298333E-1,-5.171203613E-2,1.630886841E1,-3.584333038E1,3.937926099E1
4.773618334E-1,-1.027374268E-1,1.618144226E1,-3.608681488E1,3.954880323E1
4.872948334E-1,-1.144256592E-1,1.638298035E1,-3.587549591E1,3.943940092E1
4.972268333E-1,-1.278686523E-1,1.635122681E1,-3.608005524E1,3.961248988E1
5.071588334E-1,-2.545166016E-2,1.636453247E1,-3.637378693E1,3.988547287E1
5.170908333E-1,-8.938598633E-2,1.637438965E1,-3.636003113E1,3.987706722E1
5.270238333E-1,-2.976531982E-1,1.629750061E1,-3.667206573E1,4.013150295E1
5.369558333E-1,-1.477813721E-1,1.576692200E1,-3.628306580E1,3.956107345E1
5.468878333E-1,-8.705139160E-2,1.574374390E1,-3.624911499E1,3.952051856E1
5.568208334E-1,-2.217102051E-1,1.587260437E1,-3.634152222E1,3.965721828E1
5.667528333E-1,-3.333892822E-1,1.595487976E1,-3.635781097E1,3.970591587E1
5.766848334E-1,-3.459777832E-1,1.607754517E1,-3.641078186E1,3.980392185E1
5.866178334E-1,-2.808685303E-1,1.617694092E1,-3.614309692E1,3.959918888E1
5.965498333E-1,-2.528076172E-1,1.633332825E1,-3.626713562E1,3.977620708E1
6.064818334E-1,-1.112518311E-1,1.620152283E1,-3.660935211E1,4.003431504E1
6.164138333E-1,-2.673034668E-1,1.639642334E1,-3.627442169E1,3.980889120E1
6.263468333E-1,-2.560424805E-1,1.636639404E1,-3.624533844E1,3.976995060E1
6.362788333E-1,-3.311614990E-1,1.622831726E1,-3.622208405E1,3.969266080E1
6.462108333E-1,-1.416931152E-1,1.624497986E1,-3.613756561E1,3.962124551E1
6.561438333E-1,-1.464996338E-1,1.615946960E1,-3.630799866E1,3.974192605E1
6.660758333E-1,-1.976928711E-1,1.613560486E1,-3.608217621E1,3.952619722E1
6.760078333E-1,-1.115264893E-1,1.618057251E1,-3.607359314E1,3.953640711E1
6.859408334E-1,-3.334960938E-1,1.615383911E1,-3.623432159E1,3.967346467E1
6.958728333E-1,-1.292572021E-1,1.612370300E1,-3.633929443E1,3.975594076E1
7.058048334E-1,-3.034973145E-1,1.606127930E1,-3.639639282E1,3.978384363E1
7.157368333E-1,7.369995117E-3,1.586581421E1,-3.654248047E1,3.983813492E1
7.256698333E-1,-1.908569336E-1,1.576693726E1,-3.659771729E1,3.985003949E1
7.356018334E-1,-1.989746094E-1,1.571931458E1,-3.629386139E1,3.955225425E1
7.455338333E-1,-2.486419678E-1,1.589453125E1,-3.664883423E1,3.994790353E1
7.554668333E-1,-6.199645996E-2,1.598121643E1,-3.634787750E1,3.970606152E1
7.653988333E-1,3.221130371E-2,1.604904175E1,-3.665602875E1,4.001546229E1
7.753308333E-1,-1.693572998E-1,1.596997070E1,-3.640619659E1,3.975524867E1
7.852638334E-1,-3.095092773E-1,1.615151978E1,-3.618283081E1,3.962530293E1
7.951958333E-1,-2.005462646E-1,1.592578125E1,-3.635878754E1,3.969423331E1
8.051278334E-1,-3.081512451E-1,1.614434814E1,-3.645615387E1,3.987212170E1
8.150598333E-1,-1.823272705E-1,1.641728210E1,-3.637383270E1,3.990759452E1
8.249928333E-1,-9.098815918E-2,1.610087585E1,-3.640171814E1,3.980366272E1
8.349248334E-1,-4.064941406E-2,1.614227295E1,-3.666983795E1,4.006559177E1
8.448568333E-1,-1.777496338E-1,1.627142334E1,-3.645807648E1,3.992470605E1
8.547898333E-1,-7.791137695E-2,1.609941101E1,-3.650965118E1,3.990177608E1
8.647218333E-1,-9.675598145E-2,1.623822021E1,-3.623859406E1,3.971051317E1
8.746538333E-1,-9.738159180E-2,1.597079468E1,-3.636530304E1,3.971789308E1
8.845868333E-1,-1.544189453E-2,1.614309692E1,-3.621695709E1,3.965183221E1
8.945188333E-1,-4.496765137E-2,1.627880859E1,-3.636837006E1,3.984545108E1
9.044508333E-1,-5.497741699E-2,1.612843323E1,-3.639009857E1,3.980412862E1
9.143838334E-1,-6.037902832E-2,1.604872131E1,-3.646739960E1,3.984264468E1
9.243158333E-1,-8.479309082E-2,1.608323669E1,-3.661106110E1,3.998809182E1
9.342478334E-1,-5.999755859E-2,1.611781311E1,-3.636064148E1,3.977290218E1
9.441798333E-1,-2.302551270E-1,1.609355164E1,-3.618630981E1,3.960434875E1
9.541128333E-1,-2.888793945E-1,1.630889893E1,-3.617108154E1,3.967884544E1
9.640448334E-1,-2.635040283E-1,1.614956665E1,-3.547375488E1,3.897775292E1
9.739768333E-1,-2.200469971E-1,1.615545654E1,-3.585995483E1,3.933171186E1
9.839098333E-1,-2.200469971E-1,1.615545654E1,-3.585995483E1,3.933171186E1
9.938418333E-1,-1.750793457E-1,1.602545166E1,-3.610720062E1,3.950412245E1
1.003773833E0,-3.231048584E-1,1.619773865E1,-3.606220245E1,3.953420772E1
1.013706833E0,-3.044891357E-1,1.610386658E1,-3.583580017E1,3.928907999E1
1.023638833E0,-7.411193848E-2,1.615670776E1,-3.662719727E1,4.003244032E1
1.033570833E0,-1.502380371E-1,1.608999634E1,-3.634363556E1,3.974632561E1
1.043502833E0,-2.514648438E-2,1.599296570E1,-3.608224487E1,3.946775873E1
1.053435833E0,-1.154479980E-1,1.609259033E1,-3.632312775E1,3.972850867E1
1.063367833E0,-1.817474365E-1,1.624348450E1,-3.637997437E1,3.984201746E1
1.073299833E0,-1.837768555E-1,1.612359619E1,-3.664597321E1,4.003662673E1
1.083232833E0,-3.364562988E-2,1.612132263E1,-3.643910217E1,3.984603296E1
1.093164833E0,-1.989746094E-1,1.615011597E1,-3.628024292E1,3.971299363E1
1.103096833E0,1.914978027E-2,1.628434753E1,-3.591966248E1,3.943859143E1
1.113029833E0,-1.423797607E-1,1.632736206E1,-3.594398499E1,3.947876746E1
1.122961833E0,2.297973633E-2,1.636505127E1,-3.628596497E1,3.980561122E1
1.132893833E0,-2.272338867E-1,1.609849548E1,-3.618483734E1,3.960499521E1
1.142825833E0,-1.533966064E-1,1.612677002E1,-3.626206970E1,3.968669728E1
1.152758833E0,-2.287292480E-2,1.629119873E1,-3.633058167E1,3.981601240E1
1.162690833E0,-1.762084961E-1,1.625433350E1,-3.630655670E1,3.977939751E1
1.172622833E0,-1.041107178E-1,1.636860657E1,-3.617886353E1,3.970959942E1
1.182555833E0,-6.347656250E-2,1.615406799E1,-3.613616943E1,3.958258055E1
1.192487833E0,1.481628418E-2,1.635011292E1,-3.620191956E1,3.972285729E1
1.202419833E0,-1.922607422E-3,1.616784668E1,-3.604866028E1,3.950829252E1
1.212352833E0,5.854797363E-2,1.619563293E1,-3.614864349E1,3.961093764E1
1.222284833E0,5.001831055E-2,1.641159058E1,-3.615332031E1,3.970397180E1
1.232216833E0,-1.475677490E-1,1.625944519E1,-3.628513336E1,3.976181884E1
1.242148833E0,6.398010254E-2,1.612973022E1,-3.639653778E1,3.981055454E1
1.252081833E0,1.616058350E-1,1.603164673E1,-3.643099213E1,3.980272604E1
1.262013833E0,-6.216430664E-2,1.616398621E1,-3.620401764E1,3.964857132E1
1.271945833E0,-1.374664307E-1,1.629356384E1,-3.616221619E1,3.966364833E1
1.281878833E0,-9.391784668E-2,1.590055847E1,-3.635885620E1,3.968378768E1
1.291810833E0,-1.007232666E-1,1.583444214E1,-3.623274231E1,3.954176676E1
1.301742833E0,-6.599426270E-2,1.580029297E1,-3.633061218E1,3.961776110E1
1.311675833E0,1.084594727E-1,1.590194702E1,-3.599246979E1,3.934897157E1
1.321607833E0,1.674346924E-1,1.595982361E1,-3.609865570E1,3.946969657E1
1.331539833E0,8.798217773E-2,1.598812866E1,-3.620320129E1,3.957650544E1
1.341472833E0,-3.208923340E-2,1.596040344E1,-3.590538788E1,3.929290504E1
1.351404833E0,-1.150665283E-1,1.605232239E1,-3.646914673E1,3.984581480E1
1.361336833E0,-2.424774170E-1,1.621629333E1,-3.604691315E1,3.952729326E1
1.371268833E0,-9.384155273E-2,1.603997803E1,-3.620699310E1,3.960096023E1
1.381201833E0,-3.248596191E-2,1.590586853E1,-3.577470398E1,3.915133655E1
1.391133833E0,-7.861328125E-2,1.600695801E1,-3.602577209E1,3.942188656E1
1.401065833E0,-4.718017578E-2,1.599520874E1,-3.570745850E1,3.912635328E1
1.410998833E0,-1.065063477E-2,1.611991882E1,-3.592516327E1,3.937599843E1
1.420930833E0,3.463745117E-2,1.605734253E1,-3.610295868E1,3.951282164E1
1.430862833E0,-6.321716309E-2,1.602430725E1,-3.644085693E1,3.980852262E1
1.440795833E0,-2.174224854E-1,1.588444519E1,-3.608974457E1,3.943136486E1
1.450727833E0,-3.525238037E-1,1.611233521E1,-3.585232544E1,3.930802537E1
1.460659833E0,-2.064971924E-1,1.600115967E1,-3.613192749E1,3.951703349E1
1.470591833E0,-2.586059570E-1,1.592213440E1,-3.607192230E1,3.943050620E1
1.480524833E0,-1.335144043E-1,1.607836914E1,-3.598690033E1,3.941559052E1
1.490456833E0,-1.001892090E-1,1.602729797E1,-3.612161255E1,3.951778348E1
1.500388833E0,-1.671447754E-1,1.593426514E1,-3.580038452E1,3.918668492E1
1.510321833E0,-2.102355957E-1,1.599887085E1,-3.607618713E1,3.946516623E1
1.520253833E0,-7.241821289E-2,1.629568481E1,-3.573354340E1,3.927391897E1
1.530185833E0,-6.866455078E-4,1.629481506E1,-3.578261566E1,3.931814571E1
1.540118833E0,-3.120727539E-1,1.614805603E1,-3.589019012E1,3.935686535E1
1.550050583E0,-3.722381592E-1,1.605931091E1,-3.604843140E1,3.946554744E1
1.559982583E0,-3.051605225E-1,1.606736755E1,-3.617134857E1,3.958054927E1
1.569914583E0,-2.328338623E-1,1.610600281E1,-3.572808075E1,3.919123999E1
1.579847583E0,-3.096008301E-2,1.626446533E1,-3.591058350E1,3.942212321E1
1.589779583E0,-3.096008301E-2,1.626446533E1,-3.591058350E1,3.942212321E1
1.599711583E0,-2.389221191E-1,1.623695374E1,-3.633128357E1,3.979519966E1
1.609644583E0,-2.368316650E-1,1.623731995E1,-3.596662140E1,3.946269762E1
