"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.580274900E-2,2.300625038E1,-3.414375305E1,-1.921875000E1,4.543615059E1
5.580707800E-2,2.321250153E1,-3.403125000E1,-1.942500114E1,4.554422986E1
7.580640700E-2,2.308125114E1,-3.429375076E1,-1.921875000E1,4.558690434E1
9.580160400E-2,2.310000038E1,-3.412500000E1,-1.953750038E1,4.560525807E1
1.158051210E-1,2.283750153E1,-3.393750000E1,-1.921875000E1,4.519585970E1
1.358038910E-1,2.265000153E1,-3.395625305E1,-1.920000076E1,4.510753507E1
1.557989280E-1,2.340000153E1,-3.408750153E1,-1.912500000E1,4.555527913E1
1.758021850E-1,2.265000153E1,-3.397500229E1,-1.910625076E1,4.508183856E1
1.957990390E-1,2.300625038E1,-3.414375305E1,-1.910625076E1,4.538867973E1
2.158044520E-1,2.300625038E1,-3.416250229E1,-1.890000153E1,4.531637868E1
2.358048530E-1,2.323125076E1,-3.378750229E1,-1.933125114E1,4.533192687E1
2.558007730E-1,2.300625038E1,-3.405000305E1,-1.963125038E1,4.554202736E1
2.758050680E-1,2.295000076E1,-3.373125076E1,-1.985625076E1,4.537367637E1
2.958052280E-1,2.272500038E1,-3.403125000E1,-1.951875114E1,4.533798920E1
3.158012100E-1,2.295000076E1,-3.376875305E1,-1.880625153E1,4.495226706E1
3.358054640E-1,2.261250114E1,-3.421875000E1,-1.920000076E1,4.528673193E1
3.558046840E-1,2.296875000E1,-3.450000000E1,-1.867500114E1,4.545953304E1
3.757999490E-1,2.274375153E1,-3.393750000E1,-1.931250000E1,4.518854718E1
3.958034120E-1,2.302500153E1,-3.390000153E1,-1.912500000E1,4.522307402E1
4.158022500E-1,2.291250038E1,-3.406875229E1,-1.983750153E1,4.559812521E1
4.357972130E-1,2.291250038E1,-3.416250229E1,-1.921875000E1,4.540285881E1
4.558006720E-1,2.285625076E1,-3.384375000E1,-1.942500114E1,4.522320513E1
4.757995180E-1,2.287500000E1,-3.448125076E1,-1.940625000E1,4.570366307E1
4.958055820E-1,2.281875038E1,-3.401250076E1,-1.963125038E1,4.541950648E1
5.158063410E-1,2.253750038E1,-3.395625305E1,-1.972500038E1,4.527738602E1
5.358026920E-1,2.253750038E1,-3.405000305E1,-1.940625000E1,4.521000078E1
5.558070110E-1,2.276250076E1,-3.378750229E1,-1.910625076E1,4.499750627E1
5.758063510E-1,2.251875114E1,-3.414375305E1,-1.951875114E1,4.531966099E1
5.958015170E-1,2.270625114E1,-3.420000076E1,-1.931250000E1,4.536724093E1
6.158049960E-1,2.253750038E1,-3.395625305E1,-1.972500038E1,4.527738602E1
6.358036980E-1,2.298750114E1,-3.423750305E1,-1.931250000E1,4.553684750E1
6.557986710E-1,2.287500000E1,-3.367500305E1,-1.995000076E1,4.533512971E1
6.758018520E-1,2.280000114E1,-3.425625229E1,-1.963125038E1,4.559294753E1
6.958005920E-1,2.281875038E1,-3.408750153E1,-1.963125038E1,4.547569813E1
7.158053300E-1,2.289375114E1,-3.423750305E1,-1.963125038E1,4.562583093E1
7.358050770E-1,2.272500038E1,-3.403125000E1,-1.951875114E1,4.533798920E1
7.558010290E-1,2.272500038E1,-3.401250076E1,-1.983750153E1,4.546209759E1
7.758052250E-1,2.263125038E1,-3.403125000E1,-1.993125153E1,4.547036681E1
7.958046480E-1,2.270625114E1,-3.427500153E1,-1.963125038E1,4.556024102E1
8.158007530E-1,2.281875038E1,-3.408750153E1,-1.951875114E1,4.542724706E1
8.358049940E-1,2.233125114E1,-3.406875229E1,-1.993125153E1,4.534996635E1
8.558042300E-1,2.281875038E1,-3.401250076E1,-1.942500114E1,4.533074284E1
8.757996080E-1,2.295000076E1,-3.382500076E1,-1.942500114E1,4.525664461E1
8.958031100E-1,2.310000038E1,-3.403125000E1,-2.015625000E1,4.580404358E1
9.158019470E-1,2.281875038E1,-3.399375153E1,-2.004375076E1,4.558533159E1
9.358083900E-1,2.240625000E1,-3.431250000E1,-1.981875038E1,4.552110018E1
9.558091620E-1,2.293125153E1,-3.390000153E1,-1.963125038E1,4.539205207E1
9.758056270E-1,2.274375153E1,-3.393750000E1,-1.951875114E1,4.527707793E1
9.958098100E-1,2.283750153E1,-3.391875076E1,-1.983750153E1,4.544842787E1
1.015809023E0,2.270625114E1,-3.429375076E1,-1.888125038E1,4.525634539E1
1.035804204E0,2.251875114E1,-3.420000076E1,-1.981875038E1,4.549194513E1
